# Source: https://www.mdais.org/blood-donation/information-drug-blood — columns: Hebrew trade name | English trade name | generic | guideline text | criterion
אסיוול	ASSIVAL	DIAZEPAM	מותר להתרים	טיפול במצבי חרדה
אספירין קרדיו	ASPIRIN CARDIO	ACETYL SALICYLIC ACID	בהתאם למחלה/מצב רפואי, לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	לדילול דם
אספירין	ASPIRIN	ACETYL SALICYLIC ACID	מותר להתרים. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	נגד כאבים
אספירין	ASPIRIN	ACETYL SALICYLIC ACID	מותר להתרים לאחר החלמה. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	נגד חום
אספירין	ASPIRIN	ACETYL SALICYLIC ACID	בהתאם למחלה/מצב רפואי, לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	לדילול דם
אספירין	ASPIRIN	ACETYL SALICYLIC ACID	אסור להתרים	לטיפול בדלקת ראומטית
אסציטאלופרם	ESCITALOPRAM	ESCITALOPRAM	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בדיכאון
אסקזול	ESKAZOLE	ALBENDAZOLE	אסור להתרים	טיפול באכינוקוקוס
אסריל	ACERIL	CAPTOPRIL	מותר להתרים אם לחץ הדם מאוזן	טיפול ביתר לחץ דם
אסריל	ACERIL	CAPTOPRIL	אסור להתרים	טיפול בבעיות לב או נפרופתיה סוכרתית
אפטרבי	UPTRAVI	SELEXIPAG	אסור להתרים	לטיפול  בלחצ דם ריאתי גבוה
אפידרה	APIDRA	INSULIN	אסור להתרים	טיפול בסכרת
אפלרנון	EPLERENONE	EPLERENONE	אסור להתרים	טיפול באי ספיקת לב
אפנוטין	EPANUTIN	PHENYTOIN	אסור להתרים	טיפול באפילפסיה
אפקסור	EFEXOR	VENLAFAXINE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בדיכאון
אפרמול	EFFERAMOL	PARACETAMOL	מותר להתרים	נגד כאבים
אפרמול	EFFERAMOL	PARACETAMOL	מותר להתרים לאחר החלמה	נגד חום
אצטוסאל	ACETOSAL	ACETYL SALICYLIC ACID	מותר להתרים לאחר החלמה. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	נגד חום
אצטוסאל	ACETOSAL	ACETYL SALICYLIC ACID	מותר להתרים. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	נגד כאבים
אצטוסאל	ACETOSAL	ACETYL SALICYLIC ACID	אסור להתרים	לטיפול בדלקת ראומטית
אציקלו-וי	ACYCLO-V	ACYCLOVIR	מותר להתרים  לאחר החלמה (ראה הנחיות)	טיפול בהרפס
אציקלו-וי	ACYCLO-V	ACYCLOVIR	מותר להתרים	טיפול מניעתי נגד הרפס
אקטונל	ACTONEL	RISEDRONIC ACID	מותר להתרים	טיפול באוסטאופורוזיס
אקטוס	ACTOS	PIOGLITAZONE	מותר להתרים אם סכרת מאוזנת	טיפול בסכרת
אקטיבל	ACTIVELLE	Norethisterone& Estradiol	מותר להתרים	טיפול הורמונלי בגיל המעבר (HRT)
אקטיפרין	AKTIFERRIN	FERROUS SULPHATE	מותר להתרים אם לא נלקח לתיקון אנמיה/ חסר ברזל והמוגלובין תקין	טיפול בחוסר ברזל ואנמיה
אקטמרה	ACTEMRA	TOCILIZUMAB	אסור להתרים	טיפול אימונוסופרסיבי לדלקת פרקים פעילה
אקטרפיד	ACTRAPID	INSULIN	אסור להתרים	טיפול בסכרת
אקלירה ג'נואייר	EKLIRA GENUAIR	ACLIDINIUM	מותר להתרים אם אין קוצר נשימה במאמץ קל ו/או מחלה חריפה	טיפול ב COPD
