# Source: https://www.mdais.org/blood-donation/information-drug-blood — columns: Hebrew trade name | English trade name | generic | guideline text | criterion
קלונקס	CLONEX	CLONAZEPAM	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בבעיות נפשיות
קלופידוגרל	CLOPIDOGREL	CLOPIDOGREL	יש לפנות לסמכות רפואית. לא לטרומבוציטים	דילול דם
קלופידקסל	CLOPIDEXCEL	CLOPIDOGREL	יש לפנות לסמכות רפואית. לא לטרומבוציטים	דילול דם
קלופיקסול	CLOPIXOL	ZUCLOPENTHIXOL	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בבעיות נפשיות
קלוריל	KALURIL	AMILORIDE, HYDROCHLOROTHIAZIDE	מותר להתרים אם לחץ הדם מאוזן	טיפול ביתר לחץ דם
קלוריל	KALURIL	AMILORIDE, HYDROCHLOROTHIAZIDE	אסור להתרים	טיפול באי ספיקת לב
קליאוגסט	KLIOGEST	ESTRADIOL, NORETHISTERONE	מותר להתרים	טיפול הורמונלי בגיל המעבר (HRT)
קלייר	QLAIR	ESTRADIOL, DIENOGEST	מותר להתרים	גלולות מניעת הריון
קלמנרבין	CALMANERVIN	VALERIAN EXTR.	מותר להתרים	טיפול בחרדה והפרעות שינה
קלסינוס	KALSINUS	PSEUDOEPHEDRINE	מותר להתרים	טיפול בנזלת
קלצי-רב	CALCI-RAV	CALCIUM	מותר להתרים	תוספת סידן
קלצילס	CALCILESS	SODIUM, POTASSIUM	מותר להתרים אם תפקודי כליות תקינים	טיפול ומניעה אבנים בכליות
קלצימור	CALCIMORE	CALCIUM	מותר להתרים	טיפול בצרבת וחסר סידן
קלקסן	CLEXANE	ENOXAPARIN	מותר להתרים לאחר סיום הטיפול והחלמה מלאה בהתאם למחלה	לטיפול ומניעת היווצרות קרישי דם במצבים שונים
קלרידקס	KLARIDEX	CLARYTHROMYCIN	מותר להתרים לאחר סיום הטיפול והחלמה מלאה בהתאם למחלה	אנטיביוטיקה
קלרינז	CLARINASE	LORATADINE	מותר להתרים	טיפול  באלרגיה
קמדרין	KEMADRIN	PROCYCLIDINE	מותר להתרים בהתאם למצבו התורם	טיפול במחלת פרקינסון
קנדור פלוס	CANDOR PLUS	CANDESARTAN, HYDROCHLOPOTHIAZIDE	מותר להתרים אם לחץ הדם מאוזן	טיפול ביתר לחץ דם
קסטרל	XATRAL	ALFUZOSINE	מותר להתרים	טיפול בהגדלת פרוסטטה שפירה
קסיגדו	XIGDUO	METFORMIN, DAPAGLIFLOZIN	מותר להתרים אם סכרת מאוזנת	טיפול בסכרת
קסלג'אנז	XELJANZ	TOFACITINIB	אסור להתרים	טיפול אימונוסופרסיבי
קסנאגיס	XANAGIS	ALPRAZOLAM	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול במצבי חרדה ודיכאון
קסנאקס	XANAX	ALPRAZOLAM	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול במצבי חרדה ודיכאון
קסנזין	XENAZINE	TETRABENAZINE	יש לפנות לסמכות רפואית	טיפול בהפרעות תנועה
קסניקל	XENICAL	ORLISTAT	מותר להתרים	להרזייה
קספו	XEFO	LORNOXICAM	מותר להתרים בהתאם למחלה/ מצב רפואי. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	נגד כאבים
קספו	XEFO	LORNOXICAM	אסור להתרים אם דלקת חריפה, או דלקת כרונית פעילה.לא לטרומבוציטים.	נגד דלקת
קספליון	XEPLION	PALIPERIDONE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בבעיות נפשיות
קסרלטו	XARELTO	RIVAROXABAN	אסור להתרים	לדילול דם
קפרה	KEPPRA	LEVETIRACETAM	אסור להתרים	טיפול באפילפסיה
קראון	CREON	PANCREATIN	אסור להתרים	טיפול באי ספיקת/ דלקת כרונית לבלב
קרבדקסון	CARVEDEXXON	CARVEDILOL	אסור להתרים	טיפול באי ספיקת לב
קרבוסילן	CARBOSYLANE	CHARCOAL, SIMETHICONE	מותר להתרים אם אין עדות לגסטרואנטריטיס חריפה	טיפול באי נוחות במע' העיכול, גזים
קרדילוק	CARDILOC	BISOPROLOL	אסור להתרים	טיפול בבעיות לב
קרדילוק	CARDILOC	BISOPROLOL	מותר להתרים אם לחץ הדם מאוזן ודופק מעל 70 לדקה	טיפול ביתר לחץ דם
קרוודילול	CARVEDILOL	CARVEDILOL	אסור להתרים	טיפול באי ספיקת לב
קרוסיה	CRUSIA	ENOXAPARIN	מותר להתרים לאחר סיום הטיפול והחלמה מלאה בהתאם למחלה	לטיפול ומניעת היווצרות קרישי דם במצבים שונים
קרטיה	CARTIA	ACETYL SALICYLIC ACID	בהתאם למחלה/מצב רפואי, לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	לדילול דם
קריסטקסה	KRISTEXXA	PEGLOTICASE	מותר להתרים אם עברו 24 שעות לאחר הזריקה	טיפול בגאוט
קרסטור	CRESTOR	ROSUVASTATIN	מותר להתרים	טיפול בעודף כולסטרול בדם
ראולין	REOLIN	ACETYLCYSTEINE	מותר להתרים לאחר החלמה	מכייח/טיפול בשיעול וליחה
ראלוקסיפן	RALOXIFENE	RALOXIFENE	מותר להתרים	טיפול באוסטיאופורוזיס
רבולייד	REVOLADE	ELTROMBOPAG	אסור להתרים	טיפול במחלות המטולוגיות
רואקוטן	ROACCUTANE	ISOTRETINOIN	מותר להתרים חודש לאחר סיום הטיפול	טיפול באקנה
רוגסטי	ROGASTI	FAMOTIDINE	מותר להתרים אם אין עדות לדימום והמוגלובין תקין	טיפול בכיב קיבה או תריסריון, רפלוקס
רודנל	RODENAL	TRIHEXYPHENIDYL	יש לפנות לסמכות רפואית	פרקינזוניסם וטיפול בת"ל אקסטרהפירמידליות משניות לטיפול תרופתי אחר
רוואטינקס	ROWATINEX	ANETHOLE  BORNEOL  CAMPHENE  CINEOLE  FENCHONE  PINENE	מותר להתרים לאחר החלמה	טיפול נלווה בדלקת בדרכי השתן
רוואכול	ROWACHOL	BORNEOL CAMPHENE  CINEOLE  MENTHOL  MENTHONE  PINENE	אסור להתרים	טיפול נלווה במחלות כבד
רוואכול	ROWACHOL	BORNEOL CAMPHENE  CINEOLE  MENTHOL  MENTHONE  PINENE	מותר להתרים אם תורם אסימפטומתי ואין דלקת	טיפול נלווה באבני  מרה
רווטיו	REVATIO	SILDENAFIL	אסור להתרים	טיפול ביתר לחץ דם ריאתי
רוומיצין	ROVAMYCIN	SPIRAMYCIN	מותר להתרים לאחר סיום הטיפול והחלמה מלאה בהתאם למחלה	אנטיביוטיקה
רוזובסטטין	ROSUVASTATIN	ROSUVASTATIN	מותר להתרים	טיפול בעודף כולסטרול בדם
רוליד	RULID	ROXITHROMYCIN	מותר להתרים לאחר סיום הטיפול והחלמה מלאה בהתאם למחלה	אנטיביוטיקה
רונקסין	RONEXINE	METHOTRIMEPRAZINE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בבעיות נפשיות
רופינירול	ROPINIROLE	ROPINIROLE	סיכון לירידת לחץ דם, מותר להתרים בהתאם למצבו התורם. לוודא שתייה,למדוד ל"ד ודופק 15 דקות לאחר תרומה	טיפול במחלת פרקינסון
רופפין	RUPAFIN	RUPATADINE	מותר להתרים	טיפול בנזלת אלרגית
רופפין	RUPAFIN	RUPATADINE	מותר להתרים לאחר העלמות הנגעים	טיפול באורטיקריה כרונית
רוקה-קאר	ROKA-CARE	CAFFEINE, CODEINE,PARACETAMOL	מותר להתרים.	נגד כאבים
רוקה-קאר	ROKA-CARE	CAFFEINE, CODEINE,PARACETAMOL	מותר להתרים לאחר החלמה.	נגד חום ושיעול
רוקסו	ROXO	ROXITHROMYCIN	מותר 3 ימים לאחר סיום הטיפול והחלמה מלאה	אנטיביוטיקה
רוקסט	ROKACET	CAFFEINE, CODEINE,PARACETAMOL	מותר להתרים.	נגד כאבים
רוקסט	ROKACET	CAFFEINE, CODEINE,PARACETAMOL	מותר להתרים לאחר החלמה.	נגד חום ושיעול
רזין	RAZIN	PHENTERMINE	מותר להתרים	טיפול בהשמנת יתר
ריאגילה	REAGILA	CARIPRAZINE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בבעיות נפשיות
ריבון	RIBONE	RISEDRONIC ACID	מותר להתרים	טיפול באוסטאופורוזיס, מחלת פג'ט
ריבלסוס	RYBELSUS	SEMAGLUTIDE	מותר להתרים אם סכרת מאוזנת	טיפול בסכרת
רידזין	RIDAZIN	THIORIDAZINE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בבעיות נפשיות
ריווטריל	RIVOTRIL	CLONAZEPAM	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בבעיות נפשיות
ריווטריל	RIVOTRIL	CLONAZEPAM	אסור להתרים	טיפול באפילפסיה
ריזדרונט	RISEDRONATE	RISEDRONIC ACID	מותר להתרים.	טיפול באוסטאופורוזיס
ריזלט	RIZALT	RIZATRIPTAN	מותר להתרים אם ללא התקף ביום התרומה	טיפול בהתקפי מיגרנה
ריטלין	RITALIN	METHYLPHENIDATE	מותר להתרים	טיפול בהפרעות קשב ופעלתנות יתר (ADHD)
ריטמיקל	RYTHMICAL	DISOPYRAMIDE	אסור להתרים	טיפול בהפרעות קצב
רילוטק	RILUTEK	RILUZOLE	אסור להתרים	טיפול ב ALS (סקלרוזיס)
רילרט	RELERT	ELETRIPTAN	מותר להתרים אם ללא התקף ביום התרומה	טיפול בהתקפי מיגרנה
ריספונד	RISPOND	RISPERIDONE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בבעיות נפשיות
ריספרדל	RISPERDAL	RISPERIDONE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בבעיות נפשיות
ריספרידקס	RISPERIDEX	RISPERIDONE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בבעיות נפשיות
ריפאליד	RIPALID	REPAGLINIDE	מותר להתרים אם סכרת מאוזנת	טיפול בסכרת
ריקסלטי	REXULTI	BREXPIPRAZOLE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בבעיות נפשיות ודיכאון
ריתמונורם	RYTMONORM	PROPAFENONE	אסור להתרים	טיפול בהפרעות קצב
ריתמקס	RYTHMEX	PROPAFENONE	אסור להתרים	טיפול בהפרעות קצב
רלבר אליפטה	RELVAR ELLIPTA	VILANTEROL, FLUTICASONE	מותר להתרים בהתאם להנחיות רפואיות (ראה אסטמה) / COPD	טיפול באסטמה / COPD
רלנזה	RELENZA	ZANAMIVIR	מותר להתרים לאחר סיום טיפול והחלמה מלאה	טיפול בשפעת
רלקסין	RELAXINE	VALERIAN EXTR.	מותר להתרים	טיפול במצבי חרדה והפרעות שינה
רמוטיב	REMOTIV	HYPERICI HERBA EXTRACTUM	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בדיכאון
רמיטנס	RAMITENS	RAMIPRIL	מותר להתרים אם לחץ הדם מאוזן	טיפול ביתר לחץ דם
רמיטנס	RAMITENS	RAMIPRIL	אסור להתרים	טיפול בבעיות לב
רמיפריל	RAMIPRIL	RAMIPRIL	מותר להתרים אם לחץ הדם מאוזן	טיפול ביתר לחץ דם
רמיפריל	RAMIPRIL	RAMIPRIL	אסור להתרים	טיפול בבעיות לב
רמיקד	REMICADE	INFLIXIMAB	אסור להתרים	טיפול אימונוסופרסיבי
רמסימה	REMSIMA	INFLIXIMAB	אסור להתרים	טיפול אימונוסופרסיבי
רסג'ילין	RASAGILINE	RASAGILINE	מותר להתרים בהתאם למצבו התורם	טיפול במחלת פרקינסון
רסיטל	RECITAL	CITALOPRAM	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בדיכאון ובעיות נפשיות
רפאגליניד	REPAGLINIDE	REPAGLINIDE	מותר להתרים אם סכרת מאוזנת	טיפול בסכרת
רפאטה	REPATHA	EVOLOCUMAB	מותר להתרים 24 שעות לאחר הזריקה	טיפול להורדת שומנים בדם
רפאסאל	RAFASSAL	MESALAZINE	אסור להתרים	טיפול במחלת קרוהן וקוליטיס מכוייבית (Ulcerative Colitis)
רפנידאט	REPHENIDATE	METYLPHENIDATE	מותר להתרים	טיפול בהפרעות קשב וריכוז (ADHD)
רפנידאט	REPHENIDATE	METYLPHENIDATE	אסור להתרים	טיפול בנרקולפסיה
רקוד	REKOD	CODEINE	מותר להתרים  לאחר סיום הטיפול בהתאם למצב הרפואי	טיפול בשיעול, כאבים
רקוויפ	REQUIP	ROPINIROLE	סיכון לירידת לחץ דם, מותר להתרים בהתאם למצבו התורם. לוודא שתייה,למדוד ל"ד ודופק 15 דקות לאחר תרומה	טיפול במחלת פרקינסון
רקמיד	REKAMIDE	LOPERAMIDE	מותר להתרים שבוע לאחר החלמה	נגד שלשולים
שלי	SHELLY	GESTODENE, ETHINYLESTRADIOL	מותר להתרים	גלולות למניעת הריון
תאוטרד	THEOTARD	THEOPHYLLINE	מותר להתרים בהתאם להנחיות רפואיות (ראה אסטמה)	טיפול באסטמה
תיאוטרים	THEOTRIM	THEOPHYLLINE	מותר להתרים בהתאם להנחיות רפואיות (ראה אסטמה/ ברונכיטיס)	טיפול באסטמה/ ברונכיטיס כרונית
תיאוטרים	THEOTRIM	THEOPHYLLINE	אסור להתרים	טיפול באמפיזמה
תרדיפרון	TARDYFERON	FERROUS SULPHATE	מותר להתרים אם לא נלקח לתיקון אנמיה/חסר ברזל והמוגלובין תקין	טיפול בחוסר ברזל ואנמיה
תרים	TARIM	SILDENAFIL	מותר להתרים 12 שעות לאחר הטיפול	טיפול בבעיות זקפה
תרימקסול	TRIMEXOL	PRAMIPEXOLE	סיכון לירידת לחץ דם, מותר להתרים בהתאם למצבו התורם. לוודא שתייה,למדוד ל"ד ודופק 15 דקות לאחר תרומה	טיפול במחלת פרקינסון
