# part2
מחלת הנפילה, אפילפסיה	Epilepsy	מותר להתרים אם התורם ללא התקפים וללא טיפול תרופתי 5 שנים	
מחלת השימוטו	Hashimoto's Disease	מותר אם מאוזן מבחינת התפקוד הבלוטה במשך 6 חודשים אחרונים	
מחלת ווילסון	Wilson's Disease	אסור להתרים	
מחלת וון ווילברנד	Von Willebrand's disease	אסור להתרים	
מחלת טריכומונס	Trichomonas	מותר להתרים שבוע לאחר החלמה	
מחלת כלי דם היקפית	Peripheral Vascular Disease	מותר להתרים אם אין בעיה קרדיאלית	
מחלת לב ראומטית	Rheumatic Heart Disease	אסור להתרים אם יש פגיעה במסתם	
מחלת לו גריג	Amyotrophic Lateral Sclerosis	אסור להתרים	
מחלת ליים	Lyme Disease	מותר להתרים שנה לאחר טיפול והחלמה ממחלה חריפה. אסור להתרים אם המחלה כרונית	
מחלת מנייאר	Meniere's Disease	מותר להתרים אם אין סחרחורות ביום התרומה	
מחלת נגיף האבולה - חשיפה	Ebola Virus Disease - Exposure	מותר להתרים 8 שבועות לאחר החשיפה	
מחלת נגיף האבולה - מחלה	Ebola Virus Disease	אסור להתרים	
מחלת נגיף קורונה COVID19 - חשיפה	Corona Virus Disease 19 Exposure	מחוסן/מחלים-מותר להתרים לאחר קבלת תוצאת בדיקת אנטיגן שלילית, שבוצעה 72 ש לאחר חשיפה. לא מחוסן/לא מחלים-מותר להתרים לאחר קבלת תוצאת אנטיגן שלילי, שבוצעה 5 ימים לאחר חשיפה.	
מחלת נגיף קורונה COVID19 - מחלה	Corona Virus Disease 19	מותר להתרים בחלוף 7 ימים מקבלת אישור החלמה	
מחלת נגיף קורונה MERS - חשיפה/ביקור בארץ אנדמית	Middle East  Respiratory Syndrome Exposure	מותר להתרים 14 יום לאחר חשיפה/ביקור בארץ אנדמית	
מחלת נגיף קורונה MERS - מחלה	Middle East Respiratory Syndrome Disease	מותר להתרים 28 יום לאחר החלמה	
מחלת פאג'ט של עצמות	Paget's Disease of Bone	מותר להתרים	
מחלת פאג'ט של שד	Paget's Disease of Breast	אסור להתרים	
מחלת פרקינסון	Parkinson's Disease	מותר להתרים אם הסימנים קלים ואינם מפריעים לתהליך התרומה	במקרה של ספק, פנה לסמכות רפואית
מחלת צליאק	Celiac Disease	מותר להתרים	
מחלת קרוהן	Crohn Disease	אסור להתרים	
מחלת קרויצפלד-יעקוב	Creutzfeldt-Jacob Disease	אין להשתמש במנה אם במשפחה (בדרגת קרבה ראשונה ושנייה) יש חולים במחלה או ידוע על סיכון מוגבר למחלה זו	קרבה ראשונה - הורים, אחים, סבים, דודים
מחלת ריאות חסימתית כרונית	COPD	מותר להתרים אם לא סובל מקוצר נשימה בעת מאמץ גופני ואין החמרה לאחרונה	יש לבדוק המוגלובין
מחלת שארקו-מארי-טות (CMT)	Charcot–Marie–Tooth disease	מותר להתרים	
מחלת שגאס	Chagas Disease	אסור להתרים	
מחלת שריטת החתול	Cat-Scratch Disease	מותר להתרים שבוע לאחר סיום אנטיביוטיקה והחלמה מלאה	
מיאלומה נפוצה	Multiple Myeloma	אסור להתרים	
מיאליטיס	Transverse Myelitis	אסור להתרים	
מיאסטניה גרביס	Myasthenia Gravis	אסור להתרים	
מיגרנה	Migraine	מותר להתרים 24 שעות לאחר ההתקף	
מיומה	Myoma	מותר להתרים	
"מיפוי ע""י חומרים רדיואקטיביים"	Radionuclide scan	מותר להתרים לאחר סיום הבירור הרפואי בהתאם לאבחנה לפחות חודש לאחר הבדיקה	
מיפוי עצמות בשל שברי הליכה	Bone scan for suspected fractures	מותר להתרים 3 ימים לאחר הבדיקה	יש לברר את תוצאת הבדיקה
מיקוזיס פונגואידוזיס	Mycosis Fungoides	אסור להתרים	
מיקופלזמה	Mycoplasma	מותר להתרים שבועיים לאחר החלמה	
מלנומה	Melanoma	מותר להתרים 5 שנים לפחות לאחר השלמת הטיפול והחלמה מלאה	
מלפורמציה כלייתית	Kidney malformation	מותר להתרים אם תפקודי כליות תקינים והתורם לא מטופל.	
מלריה	Malaria	מותר להתרים 3 שנים לאחר החלמה מלאה ומחלה לא חזרה	
מנינגוקוקסמיה	Meningococcemia	מותר להתרים חודש לאחר החלמה מלאה	
מעי רגיז	IBS	מותר להתרים אם אסימפטומתי ביום התרומה	
מפרצת	Aneurysm	מותר להתרים שנה לאחר תיקון כירורגי מוצלח	יש להביא מכתב מרופא המטפל ולהתיעץ בסמכות רפואית
משקל	Weight	"מותר להתרים מעל 50 ק""ג"	למעט תרומה עצמית
נגיף זיקה - חשיפה	Zika Virus Exposure	מותר להתרים 28 יום לאחר עזיבת האזור האנדמי לנגיף זיקה	
נגיף זיקה - מחלה	Zika Virus Disease	מותר להתרים 4 חודשים לאחר ההחלמה	
נהגי תחבורה ציבורית, מנופאים, עובדים בגובה וכו'	Public service vehicle drivers, crane operators, workers in hights	אסור להתרים 12 שעות לפני עבודה	
נויראלגיה של עצב המשולש, טריג'מינל נויראלגיה	Trigeminal Neuralgia	מותר להתרים	
נוירומה אקוסטית, שוונומה	(Acoustic Neuroma (Schwannoma	מותר להתרים לאחר כריתה מלאה של הגידול בתנאי שהינו שפיר והתורם אסימפטומטי	
נוירופיברומטוזיס	Neurofibromatosis	מותר להתרים אם אין גידולים פנימיים ואין נגעים במקום הדקיר	
נטייה לדמם	Abnormal Bleeding Tendency	לפנות לסמכות רפואית	
ניוון מקולרי	Macular degeneration	מותר להתרים שבוע לאחר הזרקה לעין	
ניוון שרירים	Muscular Dystrophy	לפנות לסמכות רפואית	
ניסוי קליני	Clinical trial	מותר לתרום שנה לאחר סיום הניסוי	במידה וסיבת הניסוי אנה פוסלת מתרומה
ניקוי אצל שיננית	Dental hygienist care	מותר להתרים 24 שעות לאחר הטיפול	
ניתוח אפנדציט	Appendectomy	מותר להתרים לאחר הוצאת תפרים, החלמה מלאה וחזרה לפעילות מלאה	
ניתוח בקע, הרניה	Hernia Surgery	מותר להתרים לאחר הוצאת תפרים, החלמה מלאה וחזרה לפעילות מלאה	
ניתוח החלפת מפרק	Joint replacement surgery	מותר להתרים 6 חודשים לאחר הניתוח	
ניתוח הסרת כיס מרה	Cholecystectomy	מותר להתרים לאחר הוצאת תפרים, החלמה מלאה וחזרה לפעילות מלאה	
